county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Marion,MARION NO. 1,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,6,2,0,0,0,1,3
Marion,MARION NO. 2,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,3,2,0,0,0,0,1
Marion,MARION NORTH,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,3,3,0,0,0,0,0
Marion,MARION SOUTH,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,5,2,0,0,0,1,2
Marion,MARION WEST,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,2,2,0,0,0,0,0
Marion,SELLERS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,TEMPERANCE,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,4,1,0,0,0,0,3
Marion,ZION,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,1,1,0,0,0,0,0
Marion,N WEST MULLINS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,6,3,0,0,0,0,3
Marion,S WEST MULLINS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,10,4,0,0,0,2,4
Marion,N EAST MULLINS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,9,2,0,0,0,1,6
Marion,S EAST MULLINS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,NICHOLS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,Failsafe,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,Provisional,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,Failsafe Provisional,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,President,,DEM,Joseph R Biden | Kamala D Harris,666,192,0,0,0,149,325
Marion,FRIENDSHIP,President,,DEM,Joseph R Biden | Kamala D Harris,169,51,0,0,0,28,90
Marion,CENTENARY,President,,DEM,Joseph R Biden | Kamala D Harris,659,254,0,0,0,156,249
Marion,RAINS,President,,DEM,Joseph R Biden | Kamala D Harris,363,195,0,0,0,56,112
Marion,MARION NO. 1,President,,DEM,Joseph R Biden | Kamala D Harris,660,274,0,0,0,208,178
Marion,MARION NO. 2,President,,DEM,Joseph R Biden | Kamala D Harris,488,261,0,0,0,89,138
Marion,MARION NORTH,President,,DEM,Joseph R Biden | Kamala D Harris,520,312,0,0,0,74,134
Marion,MARION SOUTH,President,,DEM,Joseph R Biden | Kamala D Harris,1374,718,0,0,0,296,360
Marion,MARION WEST,President,,DEM,Joseph R Biden | Kamala D Harris,383,157,0,0,0,116,110
Marion,SELLERS,President,,DEM,Joseph R Biden | Kamala D Harris,127,11,0,0,0,51,65
Marion,TEMPERANCE,President,,DEM,Joseph R Biden | Kamala D Harris,476,215,0,0,0,81,180
Marion,ZION,President,,DEM,Joseph R Biden | Kamala D Harris,242,97,0,0,0,38,107
Marion,N WEST MULLINS,President,,DEM,Joseph R Biden | Kamala D Harris,698,343,0,0,0,109,246
Marion,S WEST MULLINS,President,,DEM,Joseph R Biden | Kamala D Harris,704,375,0,0,0,145,184
Marion,N EAST MULLINS,President,,DEM,Joseph R Biden | Kamala D Harris,822,410,0,0,0,153,259
Marion,S EAST MULLINS,President,,DEM,Joseph R Biden | Kamala D Harris,323,182,0,0,0,61,80
Marion,NICHOLS,President,,DEM,Joseph R Biden | Kamala D Harris,168,79,0,0,0,19,70
Marion,Failsafe,President,,DEM,Joseph R Biden | Kamala D Harris,4,0,0,0,4,0,0
Marion,Provisional,President,,DEM,Joseph R Biden | Kamala D Harris,24,0,0,24,0,0,0
Marion,Failsafe Provisional,President,,DEM,Joseph R Biden | Kamala D Harris,2,0,2,0,0,0,0
Marion,BRITTON'S NECK,U.S. Senate,,CON,Bill Bledsoe,4,2,0,0,0,2,0
Marion,FRIENDSHIP,U.S. Senate,,CON,Bill Bledsoe,5,1,0,0,0,1,3
Marion,CENTENARY,U.S. Senate,,CON,Bill Bledsoe,6,1,0,0,0,0,5
Marion,RAINS,U.S. Senate,,CON,Bill Bledsoe,1,0,0,0,0,0,1
Marion,MARION NO. 1,U.S. Senate,,CON,Bill Bledsoe,9,3,0,0,0,1,5
Marion,MARION NO. 2,U.S. Senate,,CON,Bill Bledsoe,12,5,0,0,0,1,6
Marion,MARION NORTH,U.S. Senate,,CON,Bill Bledsoe,7,3,0,0,0,1,3
Marion,MARION SOUTH,U.S. Senate,,CON,Bill Bledsoe,10,2,0,0,0,0,8
Marion,MARION WEST,U.S. Senate,,CON,Bill Bledsoe,6,1,0,0,0,1,4
Marion,SELLERS,U.S. Senate,,CON,Bill Bledsoe,2,0,0,0,0,1,1
Marion,TEMPERANCE,U.S. Senate,,CON,Bill Bledsoe,6,2,0,0,0,1,3
Marion,ZION,U.S. Senate,,CON,Bill Bledsoe,3,1,0,0,0,0,2
Marion,N WEST MULLINS,U.S. Senate,,CON,Bill Bledsoe,12,5,0,0,0,1,6
Marion,S WEST MULLINS,U.S. Senate,,CON,Bill Bledsoe,10,6,0,0,0,0,4
Marion,N EAST MULLINS,U.S. Senate,,CON,Bill Bledsoe,13,5,0,0,0,1,7
Marion,S EAST MULLINS,U.S. Senate,,CON,Bill Bledsoe,5,1,0,0,0,2,2
Marion,NICHOLS,U.S. Senate,,CON,Bill Bledsoe,9,6,0,0,0,0,3
Marion,Failsafe,U.S. Senate,,CON,Bill Bledsoe,0,0,0,0,0,0,0
Marion,Provisional,U.S. Senate,,CON,Bill Bledsoe,1,0,0,1,0,0,0
Marion,Failsafe Provisional,U.S. Senate,,CON,Bill Bledsoe,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,U.S. Senate,,REP,Lindsey Graham,344,85,0,0,0,40,219
Marion,FRIENDSHIP,U.S. Senate,,REP,Lindsey Graham,68,13,0,0,0,8,47
Marion,CENTENARY,U.S. Senate,,REP,Lindsey Graham,275,105,0,0,0,22,148
Marion,RAINS,U.S. Senate,,REP,Lindsey Graham,177,68,0,0,0,17,92
Marion,MARION NO. 1,U.S. Senate,,REP,Lindsey Graham,221,93,0,0,0,29,99
Marion,MARION NO. 2,U.S. Senate,,REP,Lindsey Graham,498,191,0,0,0,45,262
Marion,MARION NORTH,U.S. Senate,,REP,Lindsey Graham,490,214,0,0,0,33,243
Marion,MARION SOUTH,U.S. Senate,,REP,Lindsey Graham,453,268,0,0,0,46,139
Marion,MARION WEST,U.S. Senate,,REP,Lindsey Graham,464,171,0,0,0,16,277
Marion,SELLERS,U.S. Senate,,REP,Lindsey Graham,41,13,0,0,0,3,25
Marion,TEMPERANCE,U.S. Senate,,REP,Lindsey Graham,225,62,0,0,0,13,150
Marion,ZION,U.S. Senate,,REP,Lindsey Graham,159,61,0,0,0,11,87
Marion,N WEST MULLINS,U.S. Senate,,REP,Lindsey Graham,269,133,0,0,0,21,115
Marion,S WEST MULLINS,U.S. Senate,,REP,Lindsey Graham,434,190,0,0,0,49,195
Marion,N EAST MULLINS,U.S. Senate,,REP,Lindsey Graham,474,193,0,0,0,46,235
Marion,S EAST MULLINS,U.S. Senate,,REP,Lindsey Graham,663,282,0,0,0,86,295
Marion,NICHOLS,U.S. Senate,,REP,Lindsey Graham,289,67,0,0,0,12,210
Marion,Failsafe,U.S. Senate,,REP,Lindsey Graham,0,0,0,0,0,0,0
Marion,Provisional,U.S. Senate,,REP,Lindsey Graham,16,0,0,16,0,0,0
Marion,Failsafe Provisional,U.S. Senate,,REP,Lindsey Graham,2,0,2,0,0,0,0
Marion,BRITTON'S NECK,U.S. Senate,,DEM,Jaime Harrison,684,197,0,0,0,151,336
Marion,FRIENDSHIP,U.S. Senate,,DEM,Jaime Harrison,171,52,0,0,0,29,90
Marion,CENTENARY,U.S. Senate,,DEM,Jaime Harrison,674,258,0,0,0,155,261
Marion,RAINS,U.S. Senate,,DEM,Jaime Harrison,367,196,0,0,0,56,115
Marion,MARION NO. 1,U.S. Senate,,DEM,Jaime Harrison,666,275,0,0,0,205,186
Marion,MARION NO. 2,U.S. Senate,,DEM,Jaime Harrison,487,267,0,0,0,88,132
Marion,MARION NORTH,U.S. Senate,,DEM,Jaime Harrison,531,318,0,0,0,74,139
Marion,MARION SOUTH,U.S. Senate,,DEM,Jaime Harrison,1396,736,0,0,0,295,365
Marion,MARION WEST,U.S. Senate,,DEM,Jaime Harrison,394,159,0,0,0,119,116
Marion,SELLERS,U.S. Senate,,DEM,Jaime Harrison,132,12,0,0,0,51,69
Marion,TEMPERANCE,U.S. Senate,,DEM,Jaime Harrison,487,219,0,0,0,80,188
Marion,ZION,U.S. Senate,,DEM,Jaime Harrison,251,100,0,0,0,38,113
